Ratings,Food Types
0.3,ARPA ŞEHRİYE ÇORBASI
1.8,ETLİ TAZE FASULYE
2.75,PİRİNÇ PİLAVI
0.8,KEMALPAŞA TATLISI
0,KREMALI MANTAR ÇORBASI
2.5,SEBZELİ PİLİÇ KEBAP
2,PEYNİRLİ MAKARNA
1.5,AKDENİZ SALATASI
0,SEBZE ÇORBASI
2.8,ETLİ KURU FASULYE
2,BULGUR PİLAVI
1.9,YOĞURT
0.5,ANDALOZ ÇORBASI
0,KIYMALI KABAK
1,ERİŞTE
1,ŞAMBALİ TATLISI
1,EZOGELİN ÇORBASI
4,KÖRİ SOSLU PİLİÇ KAVURMA
0,ZEYTİNYAĞLI KEREVİZ
1.8,PORTAKAL
1.2,BUĞDAY RİSOTTO
1,MERCİMEK ÇORBASI
2.8,ETLİ TÜRLÜ
1.6,ŞEKERPARE - H
0.7,SARAY ÇORBASI
3.5,FIRIN KÖFTE
0.7,SEBZE GRATEN
1.4,ELMA
0.4,ALACA ÇORBASI
2.5,PATATES OTURTMA
1,HAVUÇ TARATOR
2.25,HİNDİSTAN CEVİZLİ MUHALLEBİ
0.3,DÜĞÜN ÇORBASI
0,KARIŞIK TURŞU
0.7,YAYLA ÇORBASI
3.5,PİLİÇ HAŞLAMA
2.75,SOSLU MAKARNA
2,MEVSİM SALATASI
0,HAVUÇ ÇORBASI
1,KIYMALI ISPANAK
1.5,YOĞURTLU MANTI MAKARNA
0,TEL ŞEHRİYE ÇORBASI
0.5,KIYMALI YEŞİL MERCİMEK
0.6,SEBZELİ BULGUR PİLAVI
1,KREM ŞOKOLA
0.3,KREMALI DOMATES ÇORBASI
4,PİLİÇ ŞİNİTZEL
2.75,SALÇALI MAKARNA
1.2,MEYVE SUYU
2.1,PARMAK PATATES KIZARTMASI
0.3,KIYMALI KARNABAHAR
1.6,ŞEKERPARE
0,PATATES ÇORBASI
2.5,MANTARLI PİLİÇ SOTE
1.2,SEBZELİ MAKARNA
1.8,ÇİLEK
0,TEL ŞEHRİYELİ HAVUÇ ÇORBASI
2,ETLİ BARBUNYA
2.75,MISIRLI PİRİNÇ PİLAVI
4,FIRIN BALIK (USKUMRU)
1.1,ROKA SALATASI
2.2,YER FISTIKLI İRMİK HELVASI
2.2,ELMA DİLİM PATATES KIZARTMASI
3.5,TAVUKLU PATATES
2.2,MELEK PİLAVI
2.25,BADEMLİ MUHALLEBİ
2.8,ETLİ BEZELYE
3,MANTAR SOSLU PİLİÇ IZGARA
0,KREMALI BROKOLİ ÇORBASI
3.4,PATLICAN MUSAKKA
2.5,MENGEN MUSAKKA
2.75,ŞEHRİYELİ PİRİNÇ PİLAVI
2.25,CACIK
2.25,SÜTLÜ İRMİK TATLISI
2.75,ARRABİATA SOSLU MAKARNA
2.25,CEVİZLİ İRMİK HELVASI
0,KREMALI ISPANAK ÇORBASI
1,ŞEHRİYELİ BULGUR PİLAVI
